Topic,Count,Name,Representation,Representative_Docs
60,143,60_noisy_breakfast_noise_street,"['noisy', 'breakfast', 'noise', 'street', 'hear', 'poor', 'noisy breakfast', 'room noisy', 'sound', 'night breakfast', 'breakfast room', 'eggs', 'noisy room', 'noisey', 'room']","['1 seen a rat twice in the breakfast room the staff explained that it s because it s cold nowadays and there is an old building next to it but surely there isn t anything in the room it was very clean 2 the breakfast is abit expensive might consider lowering the price to about 15 also it s very limited and always the same things 3 maybe you get annoyed with the noise at night for me i didn t find difficulty sleeping i could hear sound from the street but it wasn t too loud', 'the cooked breakfast wasn t great but ok the room we had wasn t well enough lit not enough lights throughout the room quite noisy as we had a room on the front of the hotel no sound insulation', 'despite the room was cosy it was quite noisy in the morning because of the street cars trams roadworks all these produced a lot of noise the window is equipped with a special glass section to reduce the noise didn t help a lot but this also blocks the flow of fresh air also i didn t like breakfast the only place where staff wasn t friendly at 10 00 they asked to leave the dining room normally 4 hotels never do this they just kindly ask if you would like something else to take because the buffet is going to be closed but not at this hotel the rest was quite good']"
61,139,61_alarm_alarm went_went_false,"['alarm', 'alarm went', 'went', 'false', 'alarms', 'false alarm', 'going', 'evacuation', 'wake', 'morning', 'smoke alarm', 'twice', 'test', 'night', 'apology']","['the fire alarm went off one night at 12 30 am it took 30 mins to switch them off as it was a false alarm no apology was given the next day ar check out', 'fire alarm went off during one evening informed of false alarm and told i could return to my room even though alarm was still active', 'the fire alarm went off while we was in the swimming pool staff came after the alarm switch off after about 5 to 7 minutes not knowing what happen and then said everything it s okay']"
62,139,62_continental_continental breakfast_english_english breakfast,"['continental', 'continental breakfast', 'english', 'english breakfast', 'breakfast', 'breakfast continental', 'included', 'breakfast included', 'choice', 'cooked', 'eggs', 'breakfast breakfast', 'cooked breakfast', 'breakfast good', 'extra']","['i think full english breakfast should be included in the rate as the continental breakfast was poor', 'i thought a continental breakfast could have been included', 'everything was perfect basic continental breakfast only']"
63,137,63_noise_noisy_shower_bathroom,"['noise', 'noisy', 'shower', 'bathroom', 'hear', 'pipes', 'loud', 'water', 'toilet', 'sound', 'plumbing', 'coming', 'noises', 'water pipes', 'noisy hear']","['we could hear every noise from next room and every door closing hardly got any sleep when i told front desk her answer was there was a connecting door but that doesn t explain all the noise coming from hall way and room on other side the bathroom is very dangerous even if you have curtain closed water from shower still gets into floor and makes it very slippery', 'small rooms and very noisy could hear people walking around in other rooms adjacent to mine also can hear every time they use their water sounded like the water was dripping running into my room', 'pillows very uncomfortable water in the shower not hot enough quite noisy at night sounded like water pipes airconditioner although not on or possibly an over active fridge not sure exactly where the constant noise was coming from']"
64,136,64_bar_bar staff_service bar_staff,"['bar', 'bar staff', 'service bar', 'staff', 'slow', 'bar service', 'staff bar', 'service', 'bar bar', 'drink bar', 'drink', 'wait', 'concert', 'served', 'busy']","['laziness of some bar staff and lack of service at the bar', 'very slow service in the bar more staff obviously needed', 'not available nor friendly bar staff']"
65,135,65_bed_small_walk bed_wall,"['bed', 'small', 'walk bed', 'wall', 'bed wall', 'room bed', 'climb', 'bed room', 'small bed', 'room small', 'bed bed', 'cramped', 'size', 'space', 'climb bed']","['room was very small no room to walk around the bed much', 'bed bedroom were very small narrow so there was only room to walk on one side of the bed the other was a wall that is a pain for the one next to the wall trying to get out of bed during the night bed was uncomfortable pillows too hard', 'the room was quite small where the bed was against one wall']"
66,133,66_metro_station_metro station_walk,"['metro', 'station', 'metro station', 'walk', 'center', 'city', 'train', 'far', 'bus', 'hotel', 'train station', 'location', 'walking', 'walk metro', 'minutes']","['the hotel is next to mundet metro station 3 minutes on foot if you want to go to city centre it s about 20 minutes and 12 metro stations away but fortunately you don t have to change line l3', 'the location of this hotel is really not good i dont mind staying a little bit out of town as long as there is a metro station near by the nearest metro station istria is about 1 5 km away but i whould not suggest walking from there late at night or with a big suitcase another metro station sondrio is about 1 6 or 1 7 km away and you can take a bus for about half of the distance ok for one night if you dont mind a little extra walking', 'my own stupidity at getting off the wrong metro station it s not bercy metro its the next one my bad not the hotels']"
67,130,67_double_bed_double bed_beds,"['double', 'bed', 'double bed', 'beds', 'king', 'single', 'double room', 'king size', 'small double', 'size', 'queen', 'pushed', 'size bed', 'single beds', 'twin']","['the room was quite small double room was two single beds pushed together', 'double bed the room was big enough to fit a king or queen bed yet only a double', 'double bed was quite small a king size would of been better']"
68,128,68_bathroom_breakfast_shower_breakfast bathroom,"['bathroom', 'breakfast', 'shower', 'breakfast bathroom', 'bath', 'breakfast included', 'bathrooms', 'included', 'small bathroom', 'breakfast expensive', 'small', 'sink', 'poor', 'toilet', 'bathroom quite']","['breakfast area too narrow and crowded difficult to get around the buffet the bathroom has an awfully dangerous access to the bath whoever designed it wasn t thinking of using it but it could be very easy to have an accident getting in or out of the bath also as it happens too often in hotels these days the bath screen doesn t cover completely and it s impossible not to make a mess and flood the bathroom while having a shower', 'bathroom was very tiny not even a proper sink no breakfast included', 'breakfast not included bathroom a bit too small']"
69,128,69_mirror_hair_mirrors_length mirror,"['mirror', 'hair', 'mirrors', 'length mirror', 'length', 'mirror bathroom', 'plug', 'mirror room', 'lighting', 'socket', 'dressing table', 'near', 'dressing', 'hairdryer', 'drying']","['my only negative no plug point close to a mirror when using hair dryer very difficult to dry style hair without a mirror easily rectified', 'there was only one mirror and that was in the bathroom it was only on our last day that we discovered there was an electrical outlet by the radiator for drying hair in front of the mirror we also discovered that there was a full length mirror inside the wardrobe', 'no full length mirror and no where to plug in personal hair appliances with a mirror']"
70,124,70_signage_entrance_signs_difficult,"['signage', 'entrance', 'signs', 'difficult', 'sign', 'road', 'locate', 'hotel', 'directions', 'got lost', 'gps', 'station', 'hard', 'easy', 'entrance hotel']","['hard to find and the entrance is very small as we cannot see the signage of the hotel', 'difficult to find as there is no signage on the main road', 'outside signage could be better difficult to find off the road']"
71,123,71_iron_ironing_board_ironing board,"['iron', 'ironing', 'board', 'ironing board', 'iron room', 'iron ironing', 'board room', 'clothes', 'iron board', 'shirt', 'board iron', 'irons', 'asked iron', 'room iron', 'ironing facilities']","['only a minor detail non availability of an iron and ironing board', 'there was no iron or ironing board in the room breakfast was too expensive', 'we asked for an iron with ironing board unfortunately the iron leaked water and stained our clothing the ironing board was broke and didn t stand up']"
72,123,72_clothes_drawers_wardrobe_space,"['clothes', 'drawers', 'wardrobe', 'space', 'closet', 'storage', 'hangers', 'shelves', 'hanging', 'hang', 'hanging space', 'unpack', 'drawer', 'clothing', 'small']","['space to hanger longer clothes in a wardrobe', 'the wardrobe is too small there is no enough room between each clothes hangers', 'storage space for clothes eg drawers for underwear and folded clothes plus extra hangers in the wardrobe space']"
73,120,73_pressure_water pressure_shower_shower head,"['pressure', 'water pressure', 'shower', 'shower head', 'head', 'pressure shower', 'water', 'shower pressure', 'low', 'shower water', 'weak', 'bath', 'shower low', 'taps', 'hand']","['the shower head had weak pressure although it did work', 'shower head not enough pressure', 'the water pressure from the shower head wasn t very strong probably due to the fact that the water doesn t drain very well either']"
74,120,74_price_hotels_value money_value,"['price', 'hotels', 'value money', 'value', 'money', 'hotel', 'prices', 'high', 'paid', 'luxury', 'cheaper', 'overpriced', 'stay', 'better', 'expensive']","['value of money better hotels in cheaper price i think it s over rated hotel', 'not worth the money i lived in hotel indigo paris before i checked in to this hotel i normally love small boutique hotel but this one is not so great starting from reception i did mention it was my first time in paris and it is our honeymoon hotel indigo was so nice to upgrade us a room for free while this hotel was offering an upgrade for a very high price when they are not at a busy season also when i ordered 2 cups of coffee in the morning 4 euro per cup they tried to charge me another 10 euro for room service fee this is outrageous and crazy i stayed at many five start luxury hotels worldwide before this is the first time someone charged this much for 2 coffee they are also selling their hotel bath robe in the room with a price tag all these things just made me feel that this hotel is very cheap trying to make money in every way possible i will choose other hotels for sure next time i m in paris', 'for the price and money i have spent on hilton hotels the conrad is by far better value for money']"
75,120,75_price_value_money_value money,"['price', 'value', 'money', 'value money', 'price room', 'small', 'basic', 'small room', 'size room', 'room expensive', 'rooms', 'money room', 'size', 'expensive', 'room']","['i thought the size of the room was poor value for money', 'value of money for my room because it was too small and i paid a lot of money to be big', 'extremely small room too small for the price not great value']"
76,120,76_sauna_steam room_steam_jacuzzi,"['sauna', 'steam room', 'steam', 'jacuzzi', 'pool', 'spa', 'sauna steam', 'swimming', 'pool sauna', 'swimming pool', 'gym', 'facilities', 'changing', 'leisure', 'hot tub']","['would have liked more pool facilities sauna jacuzzi', 'the sauna was too small and the wet sauna was closed', 'my wife and i would have liked to have a steam room together and a sauna but there isn t a sauna']"
77,119,77_mini bar_mini_minibar_bar,"['mini bar', 'mini', 'minibar', 'bar', 'bar room', 'drinks', 'stocked', 'alcohol', 'expensive', 'free', 'beer', 'prices', 'soft drinks', 'room mini', 'minibar room']","['i would do with some mini bar selection but that was a minor setback', 'for the price the mini bar could have been included', 'bar nowhere to put my case very little in mini bar']"
78,118,78_sound_soundproofing_insulation_soundproof,"['sound', 'soundproofing', 'insulation', 'soundproof', 'hear', 'sound proofing', 'proofing', 'sound insulation', 'sound proof', 'proof', 'neighbours', 'rooms', 'rooms soundproof', 'poor sound', 'rooms sound']","['better sound insulation for balcony giving on the street', 'the roomed not very big and sound insulation is not very good', 'the sound proofing was very poor could hear all corridor noise throughout the night']"
79,116,79_english_speak_language_understand,"['english', 'speak', 'language', 'understand', 'speak english', 'staff', 'understand english', 'hard understand', 'speaking', 'spoke', 'understanding', 'communicate', 'speaks', 'english speaking', 'accent']","['staff at the reception table could speak better english', 'a lot of everyday staff cannot speak english chambermaids etc', 'staff do not speak much english']"
80,114,80_like hotel_didn like_hotel_like,"['like hotel', 'didn like', 'hotel', 'like', 'dislike', 'faults', 'fault', 'recommend', 'definitely', 'great hotel', 'highly recommend', 'fault hotel', 'great', 'say', 'stay']","['there was absolutely nothing we didn t not like at this hotel everything was perfect', 'i cannot think of anything not to like about the hotel', 'there was not really anything we didn t like about the hotel it was a great hotel and we would definitely go again']"
81,114,81_included_breakfast included_booking_breakfast,"['included', 'breakfast included', 'booking', 'breakfast', 'booking com', 'com', 'charged', 'pay', 'extra', 'said', 'booked', 'included breakfast', 'told', 'reservation', 'told breakfast']","['i had included breakfast in our stay on booking com and even upgraded our stay to ensure this however on going down to breakfast we were advised this was not included and i would need to pay 25 per person when i checked my confirmation email there was nothing to confirm i had selected this option i am 100 sure however i had selected this on booking com as there was the green icon breakfast included and when i pressed book it had another breakfast included icon to confirm again i found this really embarrassing on checking out we were charged 2 full english breakfasts 25 each where i only had the continental i had confirmed this with the waiters at the time and advised i only had a bowl of porridge the staff on checkout were not too helpful and tried to advise breakfast included means you still have to pay they seemed very put out and made many phone calls in clarifying what i had that morning they finally charged me for my continental however this was 20 which is a very expensive bowl of porridge i ve lost my trust in booking com as it cost me a lot more than i had budgeted and there was nothing to defend me i didn t find the member of staff on checkout helpful in this matter', 'breakfast was not included in booking com', 'breakfast was not included even though when booked it was']"
82,113,82_disturb_knocking_disturb sign_sign,"['disturb', 'knocking', 'disturb sign', 'sign', 'door', 'knocking door', 'sign door', 'housekeeping', 'knock', 'knock door', 'cleaner', 'maids', 'morning', 'maid', 'clean room']","['left do not disturb sign on door door knocked on twice', 'the maid come in one morning when the do not disturb sign was on the door', 'there was no do not disturb sign for the door so we were disturbed several times by housekeeping']"
83,111,83_told_asked_check_hotel,"['told', 'asked', 'check', 'hotel', 'stay', 'reception', 'manager', 'room', 'said', 'booked', 'night', 'staff', 'receptionist', 'went', 'arrived']","['my second stay at the end of my trip was a nightmare at check in the girl behind the counter insisted i had booked two rooms i had booked one deluxe twin and used my phone to cancel the second after giving me attitude during the entire check in process she handed me the room key and says the porter will show me to my single room our twin room had been split into two singles without us being told due to renovations and hence the second room she had just cancelled it would ve been nice to have been informed prior to check in as my friend and i wanted to share a room and would ve possibly booked elsewhere i was also not asked if this was okay when i found out then my friend had to show her id to check into a room i had already paid for got into the single room and there was barely enough room for me to open my suitcase on the floor we went out for breakfast the next day and put the do not disturb sign on the door as we were checking out later that afternoon but could hear housekeeping starting at about 9 30 10 o clock as we were walking down the corridor a male member of staff asked me which room i had come from when i stated he said next time don t leave the do not disturb sign on if you re not in there i told him there wasn t going to be a next time there certainly won t in future after being lectured by a member of staff after paying 135 pounds for one night in a room i could barely move my case around in and was separated from my friend and we were coming back after breakfast to pack up and check out our check out time was for 12pm however when my friend left her room to visit me at 11 30am she was locked out of her room we are 22 and 23 years old and were treated like unwelcome teenagers by the staff that s not the service i had come to expect after my two night stay earlier that month must be different staff at the weekend but i left feeling about twelve years old', 'our stay at the fitzrovia was a frustrating one we booked a double room and initially the toilet did not work we called down and the staff instructed us how to fix it and later that evening the toilet was completely broken the next morning we were woken up to construction with no heads up about it we contacted the front desk in the morning regarding the toilet and construction and kindly asked to change rooms they told us to come down and they would sort it out once we came down we talked to the reception who told us we wouldn t be able to change rooms until at least an hour later this was after the took our room key for the room we had we explained to them that this was all very incovienent as we had literally woken up and headed right downstairs the reception then asked us if we had nothing else to do until our room was ready honestly this was insulting we are entitled to stay in our hotel room all day if we wanted to we asked about breakfast and the lady told us we could pay 18 we sat in the lobby where we asked for a glass of water which did not come until over an hour later our room was ready the room we changed into was pretty much the same thing we emailed the manager of the hotel regarding this whole ordeal as the service was truly horrible we felt unappreciated unwelcomed and uncomfortable something that should not happen at a four star hotel the hotel manager called our room and then proceeded to apologise and said how she notices we were interested in the breakfast i am actually appalled i did not send an email to get a free breakfast but to ensure this service does not happen to any other guest very insulting the hotel itself is fine but the service is questionable will not be coming back', 'when we arrived we where met by a very nice gentleman whom checked us in and told us where our room was and that it was all ready for us to go up early check in our room was right beside a building site when we looked out the window we where staring right into the workmen faces they even gave us a smile and a wave they where that close not appropriate for a mother with a teenage daughter to be facing onto i asked to be moved and they moved us one floor up to the same horrid dirty brown room no bedside lamps dirty carpets old bathroom one word shabby i then complained to booking com and was told to let the hotel manager sort something out the only thing i wanted them to do was move us to another hotel so i gave them a chance and we got a nicer room on the 8 floor and yes guess what another building site only this time a generator when all night i tried calling booking com back and waited nearly an hour for them to answer but we had a reservation to go to so i had to leave it at that on the monday we were woken to the sound of the fire alarm at 7 05am then again at 8am to be told it was the toaster in the restaurant causing the problem this happened several times and no staff let us know what was going on i had to phone down and ask the reception myself having to cue up for breakfast every morning was ridiculous too surely they must know how many guest they have staying in the hotel the whole experience was horrific it was my 1st time taking my daughter away since her dad died and i certainly didn t expect unfriendly unmannerly staff and a very poor standard and quality of hotel i stay in london regularly and have stayed in some beautiful hotels no way is this hotel worth the price try somewhere else trust me']"
84,111,84_staff_rude_hotel staff_hotel,"['staff', 'rude', 'hotel staff', 'hotel', 'friendly', 'smile', 'unhelpful', 'staff rude', 'training', 'guests', 'rude unhelpful', 'hospitality', 'staff helpful', 'helpful', 'like']","['hotel staff was not helpful at all they couldn t give us any reccomendations it almost seemed like they don t know the city at all', 'staff were rude and unhelpful huffing and puffing everything seemed such an effort like we were putting them out nice hotel other than that', 'it feels like a business hotel that is trying to be family friendly there is a sterile air to the hotel the staff are friendly although lack a little training regarding customer service on arrival i was clearly struggling with some bags yet when i went inside the doorman was so busy chatting to and laughing with a pretty woman that he hadn t bothered coming out to help the staff were helpful behind the counter on all occasions when asked for assistance but only gave part of the answer for example is there an atm near here please yes sir across the road in that direction i came back to the hotel after being unable to find the atm only to be told that it was inside a supermarket out of sight and that i would have to go inside it would have been nice to know that the first time i asked so a reasonable travelling hotel not a comfortable one for a romantic weekend the staff need some client orientation training']"
85,110,85_sockets_plug_outlets_usb,"['sockets', 'plug', 'outlets', 'usb', 'plug sockets', 'outlet', 'power', 'near bed', 'electrical', 'socket', 'electric', 'chargers', 'plugs', 'near', 'points']","['there was no plug sockets next to second bed', 'no plug sockets by the bed so we could charge our phones and a lack of plug sockets in the room all together really', 'plug sockets by the bed would have been nice']"
86,103,86_bar_bar closed_closed_bar area,"['bar', 'bar closed', 'closed', 'bar area', '11pm', 'drink', 'area', 'sky bar', 'bar open', 'open', 'early', 'bars', 'shut', 'closes', 'sky']","['bar closed at 11pm couldn t get bar food after 10 45pm', 'the bar was closed when we arrived so we could not sit in the bar area for a relaxing drink', 'bar closed way too early would have been nice to get a drink after 11pm']"
87,102,87_smell_smell bathroom_bad smell_bathroom,"['smell', 'smell bathroom', 'bad smell', 'bathroom', 'smell room', 'sewage', 'sewer', 'slight', 'drains', 'drain', 'sink', 'bad', 'smelled', 'toilet', 'bathroom smell']","['slight smell in bathroom of london drainage but bathroom clean', 'bad smell from bathroom sink at our suite room rm 108 despite the comfortable bed and sheet we could not sleep at all due to odd smell from the bathroom thus we were very very tired throughout the travel must be from improper plumbing of sewage that bad smell overwhelmed all other great facilities and location of this hotel later we figured the bad smell from the sink where we wash face and brush teeth thus blocked it with water', 'the smell from the bathroom was obnoxious snd possbly unhealthy']"
88,101,88_music_loud_loud music_music bar,"['music', 'loud', 'loud music', 'music bar', 'bar', 'dj', 'disco', 'playing', 'music loud', 'night', 'background', 'party', 'restaurant', 'noise', 'midnight']","['music in bar area not that we mind music just the choice', 'loud music throughout the night until earlier hours', 'another bar without loud music would be good']"
89,99,89_hot water_water_hot_water morning,"['hot water', 'water', 'hot', 'water morning', 'morning', 'water day', 'day', 'morning hot', 'shower', 'water shower', 'water hot', 'water night', 'shower hot', 'problem', 'fixed']","['there was never enough hot water check out was at 9 00 am', 'hot water was an issue on one day', 'one day without hot water']"
90,98,90_restaurant_slow_staff restaurant_service,"['restaurant', 'slow', 'staff restaurant', 'service', 'service restaurant', 'restaurant staff', 'slow service', 'waiter', 'staff', 'service bar', 'service slow', 'food', 'restaurant service', 'steak', 'order']","['service in the restaurant could be slow sometimes', 'staff in restaurant were unfriendly service was slow', 'slow service in restaurant some of the staff were not helpful']"
91,97,91_duvet_blanket_sheet_duvets,"['duvet', 'blanket', 'sheet', 'duvets', 'blankets', 'sheet bed', 'bed', 'heavy', 'extra blanket', 'warm', 'cover', 'cold night', 'hot', 'covers', 'cold']","['i couldn t open the window i would have preferred a sheet and a blanket rather than the duvet', 'would have preferred a duvet instead of a blanket', 'the duvet was pretty much just a sheet had to request a blanket and then a winter duvet']"
92,97,92_shower_bed_mattress_water,"['shower', 'bed', 'mattress', 'water', 'uncomfortable', 'beds', 'bed small', 'bath', 'mattresses', 'soft', 'small', 'drain', 'hard', 'comfortable', 'sheets']","['lovely bathroom but shower not up to standard the bed was a bit hard needed a topper to the mattress or a new more comfortable mattress no tea making facility in room', 'the shower didn t drain minor pain the bed only had one sheet could see straight through to the mattress would have been nicer had there been better sheets or mattress protector', '1 shower was configured horribly it was uncomfortable and small and the water would leak into the floor water pressure was also poor 2 bathroom products were cheap they had the all in one shower gel shampoo and conditioner 3 no mini bar actually there was one it was just empty dirty in side 4 bed had a thin foam thing on top of the mattress which the sheets were tucked into this meant the sheets were never right and came out when you were sleeping it felt like bathing with your socks on 5 curtain had rips all the way through you didn t notice this until the morning when the light came through']"
93,97,93_photos_pictures_smaller_reality,"['photos', 'pictures', 'smaller', 'reality', 'website', 'room pictures', 'photo', 'rooms', 'room smaller', 'pictures room', 'look', 'look like', 'room', 'pics', 'web']","['the pictures were much different they gave me smaller room', 'the pictures on the website do not meet the reality', 'room was smaller and less modern than the pictures made it appear']"
94,97,94_breakfast_breakfast room_small breakfast_small,"['breakfast', 'breakfast room', 'small breakfast', 'small', 'room breakfast', 'small room', 'dining room', 'breakfast selection', 'tiny breakfast', 'basic', 'room', 'limited breakfast', 'dining', 'breakfast little', 'space']","['don t be put off by the small breakfast room get there early as the breakfast is lovely', 'small breakfast room room d cor a bit dated', 'a very small breakfast room with very very small bistro tables']"
95,90,95_slippers_robes_robe_dressing,"['slippers', 'robes', 'robe', 'dressing', 'bathrobes', 'bathrobes slippers', 'bathrobe', 'bath robes', 'gowns', 'dressing gowns', 'bath robe', 'dressing gown', 'slippers room', 'gown', 'pair']","['would of been nice to have free towels bathrobes slippers for spa', 'no refridgerator bathropes slippers cloaset for clotes', 'i should have brought mine slippers there is none no retails around']"
96,89,96_luggage_stolen_bag_key,"['luggage', 'stolen', 'bag', 'key', 'police', 'left', 'bags', 'lost', 'help', 'checked', 'safe', 'hotel', 'passport', 'security', 'reception']","['dear sir hotel customer care i am currently staying in the nh carlton amsterdam the experience has been more than terrible when i arrived my booking via booking com did not showed the person in the reception was making me and asking me if i was sure what was my name asked me to return 30 minutes latter they were able to find my reservation and i was given a room after 1 hour and 4 pm then i went out to eat and when i came back my key did not work the lady in the reception told me the key will not work if it is near a phone or a wallet after 15 minutes waiting no other place happens this i got to the room and the tv did not work i called the reception and they told me to wait for 20 minutes i had to go down and talk with the manager in charge so he could check the tv some else joined me and she found the tv did not work and offered to check it by a technician the day after she was trying not to even offer to change the room i insisted and finally agreed i had to pack and get down get a new key and change no follow up call if things were working they could not care less i do not know who is in charge but i guess they do not really care about the customer the experience or the property i understand things might go wrong but the staff is not enough not willing to solve problems or the customer i will take this to social media and review it on booking com', 'security because my sweet shirt was stolen from my room and my friends luggage was stolen in lobby', 'we left our luggage to the reception staff to be stored until being able to enter the room and our backpack was stolen with all our personal items in it i luckily saved my id and a credit card but everything else was stolen by another guest at the hotel we assume cause they haven t told us anything else so far first reaction from people at the reception was to tell us that we did not leave the backpack to be stored in the luggage room with them and that we never entered it to the hotel later they checked the camera in the reception and they could confirm that we indeed had the backpack with our other luggage in the reception and that we left it there to be put in the luggage room even though we were reimbursed the full price of our booking the trouble that we went through and all the things that we lost can t be compensated']"
97,89,97_sheets_changed_bed sheets_bed,"['sheets', 'changed', 'bed sheets', 'bed', 'change', 'linen', 'bed linen', 'cleaning', 'change sheets', 'change bed', 'clean', 'sheets changed', 'did change', 'cleaned', 'bed dirty']","['sheets on the bed dirty toilet not cleaned had to request a change of room hotel did not change room but asked guest to wait while sheets were changed rooms very small', 'the sheets didn t get changed whilst we were here my fianc spilled tea on our sheets and we could tell the sheets were not changed as the stain was still there everyday after room service would make up room', 'bed sheets not changed every day']"
98,87,98_bed_breakfast_hard_uncomfortable,"['bed', 'breakfast', 'hard', 'uncomfortable', 'soft', 'breakfast bed', 'comfortable', 'bed comfortable', 'beds', 'mattress', 'uncomfortable bed', 'bed mattress', 'bed soft', 'double bed', 'varieties']","['bed was not comfortable breakfast was not that good m', 'bed too soft rollaway too small i breakfast not so good', 'not so many varieties for breakfast bed was not very comfortable especially the pillows']"
99,87,99_upgrade_executive_executive room_upgraded,"['upgrade', 'executive', 'executive room', 'upgraded', 'room executive', 'booked executive', 'standard room', 'standard', 'booked', 'room', 'upgrade room', 'like upgrade', 'free upgrade', 'executive rooms', 'room booked']","['the so called executive room we booked was quite a bit smaller then the executive room i occupied last time so i don t think it was the same standard', 'room in the basement while i clearly stipulate in my booking that i wanted a room on a high floor and not in the main building i have booked a deluxe room and as there was no more room of that category available when i arrived i have been upgraded to an executive room which made me wondering what would be a standard room because the executive one had nothing really executive the bathroom is very basic and not really fancy all in all the hotel is not bad but compared to other hotels in the same you understand why it s cheaper i might have been unlucky with the room i have received as i m often travelling to london i might try it again to confirm my words', 'i upgraded from urban room to executive room although prompted to reconsider by helpful receptionist but when you decide to change from a standard room to executive you d expect more for your money the bathroom was really a big disappointment tiles and floor looked old and dated and the room wasn t very lit or welcoming this remember was a executive room so anyone considering to purchase this upgrade do not all you will get is king size bed and a couch with little extra space']"
100,82,100_hot_cold_plates_cooked,"['hot', 'cold', 'plates', 'cooked', 'hotter', 'cooked breakfast', 'hot breakfast', 'food', 'warm', 'breakfast', 'hot food', 'breakfast cold', 'wasn hot', 'breakfast hot', 'cold breakfast']","['cold plates and warm breakfast rather than hot', 'the plates for cooked breakfast were cold despite a notice telling guests to be aware of very hot plates food was subsequently cold and not good value at 24 for two we should have complained at the time but were in a hurry', 'breakfast was not always hot some parts of cooked breakfast was cold']"
101,82,101_bugs_bed bugs_mosquitos_bug,"['bugs', 'bed bugs', 'mosquitos', 'bug', 'mosquitoes', 'insects', 'ants', 'bed', 'flies', 'spiders', 'kill', 'spider', 'stay away', 'woke', 'moved']","['had bed bugs not a pleasant experience', 'i got bitten by bed bugs on the bed', 'there were bed bugs and have got bites and rash once i got back home']"
102,82,102_barcelona_la rambla_location_rambla,"['barcelona', 'la rambla', 'location', 'rambla', 'beach', 'la', 'hotel', 'metro', 'taxi', 'minutes', 'city', 'walk', 'hotel located', 'away', 'airport']","['lifts were a bit jittery space theme is more accurately 70s retro style if you are staying in barcelona for leisure then you need to be closer to the street called la rambla i stayed at a hotel much closer in during my proper stay in barcelona i only stayed at this hotel after coming from madrid and to catch the next day train connection to paris', 'although the hotel is fairly far from downtown barcelona and the beachfront it is only a 5 minute walk from the nearest metro station that goes direct into central barcelona', 'the location for someone travelling to see barcelona it is too far out']"
103,81,103_hairdryer_hair_dryer_hair dryer,"['hairdryer', 'hair', 'dryer', 'hair dryer', 'hairdryer room', 'didn work', 'hairdryer didn', 'dry', 'work', 'blow', 'dry hair', 'mirror', 'didn', 'button', 'drawer']","['hair dryer in bathroom very little flexibility when styling hair a hand dryer in the bedroom would have been better', 'the hairdryer was a little bit broken hair dryer got overheated easily generally speaking within three seconds and the hairdryer will shut down due to overheated', 'asked for a hair dryer but never got it']"
104,76,104_receptionist_rude_receptionists_lady,"['receptionist', 'rude', 'receptionists', 'lady', 'dealing', 'friendly', 'smile', 'attitude', 'manager', 'receptionist friendly', 'helpful', 'rude receptionist', 'impression', 'welcoming', 'talking']","['nothing bad but a welcoming smile from the receptionist would have been nice', 'lady receptionist not good feeling no smile', 'the receptionist when check in attitude not so good']"
105,76,105_doors_closing_door_slamming,"['doors', 'closing', 'door', 'slamming', 'banging', 'noisy', 'noise', 'doors banging', 'slam', 'shut', 'noisy doors', 'doors slamming', 'morning', 'room doors', 'banging doors']","['the room doors are very noisy when they close guests coming in late kept us awake with their very loud doors opening and closing', 'the banging of the doors but thats due to heavy duty fireproof doors', 'doors banging as they didn t have slow closing facility']"
106,75,106_noisy_bed_uncomfortable_hard,"['noisy', 'bed', 'uncomfortable', 'hard', 'beds', 'comfortable', 'comfy', 'road', 'noise', 'hard bed', 'quite noisy', 'bed hard', 'noisy room', 'mattress', 'uncomfortable bed']","['bed was hard room was 24 5 uncomfortable sleep hard bed front of house noisy till 2am should have automatic front doors like the side entrance as staff find it hard to open a door for you', 'the beds were very uncomfortable and it was quite noisy from the busy road below', 'uncomfortable bed hard mattress small room needed updating broken shower holder so kept falling off noisy road']"
107,75,107_milan_milano_train_station,"['milan', 'milano', 'train', 'station', 'metro', 'far', 'location', 'city', 'central', 'airport', 'bus', 'train station', 'center', 'centre', 'km']","['minimal no frills hotel very far from milan it seemed very expensive but maybe everything in milan overpriced breakfast was ok', 'it outside the milan so if you plan to do city siteseeing its not gona help', 'bit too far from the milan centre but still easy to get there by metro 5min walk to it not much to do around the gotel area']"
108,72,108_tube_tube station_station_nearest tube,"['tube', 'tube station', 'station', 'nearest tube', 'nearest', 'close tube', 'walk', 'far', 'walk nearest', 'close', 'location', 'london', 'bit far', 'stations', 'bit']","['shame not closer to tube station', 'a bit far from the tube station not ideal if you do not have a car', 'a tube station a bit closer would have been great that s our only criticisiam']"
109,71,109_elevator_noisy_lift_room lift,"['elevator', 'noisy', 'lift', 'room lift', 'noise', 'room near', 'near', 'elevators', 'lifts', 'noises', 'noisy room', 'noise night', 'room elevator', 'room', 'floor lift']","['very noisy room next to elevator constant noise all night', 'room next to lift problem could be noisy', 'it s very very noisy the ac fan and especially the elevator are very noisy from 6am you can no longer sleep due to the elevator noise the elvator is very old']"
